author_id,year,is_treated,event_year_aligned,is_industry_elite,is_academic_elite,country_code,avg_logRCR,yearly_paper_count,relative_year,Post,DID_term,is_elite_overall
A5000073123,2023,1,2023,0.0,0.0,DE,0.4714739267481027,1,0,1,1,0
A5000073123,2024,1,2023,0.0,0.0,DE,2.3502756547121506,1,1,1,1,0
A5000077857,2022,1,2023,0.0,1.0,US,0.5507041995685489,1,-1,0,0,1
A5000077857,2023,1,2023,0.0,1.0,US,0.7905952609448945,1,0,1,1,1
A5000077857,2024,1,2023,0.0,1.0,US,0.4408981615855264,2,1,1,1,1
A5000077857,2025,1,2023,0.0,1.0,US,0.0,1,2,1,1,1
A5000078382,2017,1,2018,0.0,1.0,US,0.2793619005345121,1,-1,0,0,1
A5000078382,2018,1,2018,0.0,1.0,US,0.7652169012488864,3,0,1,1,1
A5000078382,2019,1,2018,0.0,1.0,US,0.9440127345649384,2,1,1,1,1
A5000078382,2020,1,2018,0.0,1.0,US,0.1152129301870519,3,2,1,1,1
A5000078382,2021,1,2018,0.0,1.0,US,0.935283743574477,4,3,1,1,1
A5000078382,2022,1,2018,0.0,1.0,US,0.7131972471671256,1,4,1,1,1
A5000079751,2017,1,2021,0.0,1.0,CN,0.1338647011026837,1,-4,0,0,1
A5000079751,2019,1,2021,0.0,1.0,CN,0.0383755287056368,2,-2,0,0,1
A5000079751,2021,1,2021,0.0,1.0,CN,0.1982938006377956,3,0,1,1,1
A5000079751,2022,1,2021,0.0,1.0,CN,0.312791916435311,1,1,1,1,1
A5000079751,2024,1,2021,0.0,1.0,CN,0.1003863981522894,3,3,1,1,1
A5000079751,2025,1,2021,0.0,1.0,CN,0.0,2,4,1,1,1
A5000080315,2017,1,2021,0.0,1.0,CN,0.1338647011026837,1,-4,0,0,1
A5000080315,2018,1,2021,0.0,1.0,CN,0.6716790923841631,5,-3,0,0,1
A5000080315,2021,1,2021,0.0,1.0,CN,0.2548680886850014,1,0,1,1,1
A5000097100,2019,0,2025,0.0,0.0,CN,0.3356620563201938,1,-6,0,0,0
A5000097100,2020,0,2025,0.0,0.0,CN,0.7900007292491815,1,-5,0,0,0
A5000097100,2021,0,2025,0.0,0.0,CN,0.4203698321954573,1,-4,0,0,0
A5000099875,2017,0,2019,0.0,0.0,VN,0.4407906937276578,2,-2,0,0,0
A5000099875,2018,0,2019,0.0,0.0,VN,2.115468723375038,1,-1,0,0,0
A5000099875,2019,0,2019,0.0,0.0,VN,0.1982058254585017,2,0,1,0,0
A5000099875,2020,0,2019,0.0,0.0,VN,1.0399816187498976,1,1,1,0,0
A5000100573,2017,1,2024,0.0,0.0,CN,1.2703092900278203,3,-7,0,0,0
A5000100573,2019,1,2024,0.0,0.0,CN,0.2783787664058624,2,-5,0,0,0
A5000100573,2024,1,2024,0.0,0.0,CN,0.7199222044474486,1,0,1,1,0
A5000100573,2025,1,2024,0.0,0.0,CN,0.2804565631343517,4,1,1,1,0
A5000101368,2024,1,2026,0.0,1.0,CN,0.3011591944568682,2,-2,0,0,1
A5000101368,2026,1,2026,0.0,1.0,CN,0.0,1,0,1,1,1
A5000102478,2020,1,2025,0.0,0.0,CN,1.1030069530750737,2,-5,0,0,0
A5000102478,2022,1,2025,0.0,0.0,CN,0.0,1,-3,0,0,0
A5000102478,2025,1,2025,0.0,0.0,CN,0.0,1,0,1,1,0
A5000104585,2021,0,2025,0.0,1.0,CN,0.1098553049603198,1,-4,0,0,1
A5000104585,2022,0,2025,0.0,1.0,CN,0.2079956563490717,2,-3,0,0,1
A5000106487,2018,1,2020,0.0,0.0,IL,0.2112922385197081,2,-2,0,0,0
A5000106487,2020,1,2020,0.0,0.0,IL,0.0459575946914309,2,0,1,1,0
A5000106487,2021,1,2020,0.0,0.0,IL,0.0,1,1,1,1,0
A5000106487,2026,1,2020,0.0,0.0,IL,0.0,2,6,1,1,0
A5000106707,2021,1,2022,0.0,0.0,US,0.2088280716330034,1,-1,0,0,0
A5000106707,2022,1,2022,0.0,0.0,US,0.4775139000488907,1,0,1,1,0
A5000106707,2023,1,2022,0.0,0.0,US,0.1064339822320402,2,1,1,1,0
A5000112865,2018,1,2019,0.0,1.0,CN,0.2425425778681348,1,-1,0,0,1
A5000112865,2019,1,2019,0.0,1.0,CN,0.6084707307146444,1,0,1,1,1
A5000112865,2020,1,2019,0.0,1.0,CN,0.7222157020081493,1,1,1,1,1
A5000112865,2021,1,2019,0.0,1.0,CN,0.0549276524801599,2,2,1,1,1
A5000112865,2022,1,2019,0.0,1.0,CN,0.8498690464113178,2,3,1,1,1
A5000112865,2023,1,2019,0.0,1.0,CN,0.3195232527360995,1,4,1,1,1
A5000112865,2024,1,2019,0.0,1.0,CN,0.8019951383403732,1,5,1,1,1
A5000112865,2025,1,2019,0.0,1.0,CN,0.710607978481482,2,6,1,1,1
A5000112865,2026,1,2019,0.0,1.0,CN,0.0,1,7,1,1,1
A5000113218,2017,0,2020,0.0,0.0,US,0.905843393966924,2,-3,0,0,0
A5000113218,2017,0,2023,0.0,0.0,US,0.905843393966924,2,-6,0,0,0
A5000113218,2017,0,2026,0.0,0.0,US,0.905843393966924,2,-9,0,0,0
A5000113218,2021,0,2020,0.0,0.0,US,0.9200896305820876,1,1,1,0,0
A5000113218,2021,0,2023,0.0,0.0,US,0.9200896305820876,1,-2,0,0,0
A5000113218,2021,0,2026,0.0,0.0,US,0.9200896305820876,1,-5,0,0,0
A5000121999,2016,1,2021,0.0,0.0,CN,0.1160481139396728,1,-5,0,0,0
A5000121999,2021,1,2021,0.0,0.0,CN,0.0,1,0,1,1,0
A5000121999,2023,1,2021,0.0,0.0,CN,0.0,2,2,1,1,0
A5000121999,2025,1,2021,0.0,0.0,CN,0.0,2,4,1,1,0
A5000122982,2020,1,2022,0.0,0.0,GB,0.7525631134306947,2,-2,0,0,0
A5000122982,2022,1,2022,0.0,0.0,GB,0.7075653465527202,3,0,1,1,0
A5000122982,2023,1,2022,0.0,0.0,GB,0.6517560667174243,4,1,1,1,0
A5000122982,2024,1,2022,0.0,0.0,GB,0.0,1,2,1,1,0
A5000122982,2025,1,2022,0.0,0.0,GB,0.710607978481482,2,3,1,1,0
A5000129288,2020,1,2023,0.0,0.0,IT,0.4559243901942503,1,-3,0,0,0
A5000129288,2021,1,2023,0.0,0.0,IT,0.0,2,-2,0,0,0
A5000129288,2022,1,2023,0.0,0.0,IT,0.0198020515302752,3,-1,0,0,0
A5000129288,2023,1,2023,0.0,0.0,IT,0.1146449517515263,3,0,1,1,0
A5000129288,2024,1,2023,0.0,0.0,IT,0.8332290162155906,2,1,1,1,0
A5000129288,2025,1,2023,0.0,0.0,IT,0.710607978481482,1,2,1,1,0
A5000130413,2018,0,2024,0.0,1.0,US,0.2112922385197081,1,-6,0,0,1
A5000130413,2018,0,2025,0.0,1.0,US,0.2112922385197081,1,-7,0,0,1
A5000130413,2019,0,2024,0.0,1.0,US,0.3067341138906964,1,-5,0,0,1
A5000130413,2019,0,2025,0.0,1.0,US,0.3067341138906964,1,-6,0,0,1
A5000130413,2020,0,2024,0.0,1.0,US,0.5151579647251981,1,-4,0,0,1
A5000130413,2020,0,2025,0.0,1.0,US,0.5151579647251981,1,-5,0,0,1
A5000130413,2021,0,2024,0.0,1.0,US,1.318334065200166,2,-3,0,0,1
A5000130413,2021,0,2025,0.0,1.0,US,1.318334065200166,2,-4,0,0,1
A5000134849,2017,0,2025,0.0,0.0,Unknown,0.3822128055295671,1,-8,0,0,0
A5000134849,2019,0,2025,0.0,0.0,Unknown,0.5176458441659186,1,-6,0,0,0
A5000134849,2023,0,2025,0.0,0.0,Unknown,0.7905952609448945,1,-2,0,0,0
A5000141831,2017,1,2020,0.0,1.0,US,0.3060832224052869,1,-3,0,0,1
A5000141831,2018,1,2020,0.0,1.0,US,0.0384629416230276,1,-2,0,0,1
A5000141831,2020,1,2020,0.0,1.0,US,0.4603394365591605,3,0,1,1,1
A5000141831,2021,1,2020,0.0,1.0,US,0.4386701726603264,4,1,1,1,1
A5000141831,2022,1,2020,0.0,1.0,US,0.359640236031774,2,2,1,1,1
A5000141831,2023,1,2020,0.0,1.0,US,0.5530265986235414,10,3,1,1,1
A5000141831,2024,1,2020,0.0,1.0,US,0.6557164663159669,13,4,1,1,1
A5000141831,2025,1,2020,0.0,1.0,US,0.5575135427176575,10,5,1,1,1
A5000142779,2017,0,2020,0.0,0.0,GB,0.1946265353026823,1,-3,0,0,0
A5000142779,2021,0,2020,0.0,0.0,GB,0.4917741738051316,2,1,1,0,0
A5000148676,2018,0,2025,0.0,1.0,US,0.3793760968856297,2,-7,0,0,1
A5000148676,2023,0,2025,0.0,1.0,US,0.0725943690336118,1,-2,0,0,1
A5000148676,2024,0,2025,0.0,1.0,US,0.0,1,-1,0,0,1
A5000148676,2025,0,2025,0.0,1.0,US,0.0,2,0,1,0,1
A5000158770,2017,1,2018,0.0,1.0,US,0.4529544400779078,1,-1,0,0,1
A5000158770,2018,1,2018,0.0,1.0,US,0.0384629416230276,1,0,1,1,1
A5000158770,2019,1,2018,0.0,1.0,US,0.0632586673403837,3,1,1,1,1
A5000158770,2020,1,2018,0.0,1.0,US,0.0470132734082054,1,2,1,1,1
A5000158770,2021,1,2018,0.0,1.0,US,0.9889618801748188,4,3,1,1,1
A5000158770,2025,1,2018,0.0,1.0,US,1.9756588840710692,1,7,1,1,1
A5000161251,2021,0,2023,0.0,0.0,RU,0.2088280716330034,1,-2,0,0,0
A5000161251,2023,0,2023,0.0,0.0,RU,0.0,2,0,1,0,0
A5000161251,2025,0,2023,0.0,0.0,RU,1.121826252537407,1,2,1,0,0
A5000163326,2022,0,2024,0.0,1.0,CN,0.9282802394146804,1,-2,0,0,1
A5000163326,2024,0,2024,0.0,1.0,CN,0.0,2,0,1,0,1
A5000165797,2021,0,2024,0.0,0.0,SA,0.1605656399304993,1,-3,0,0,0
A5000165797,2025,0,2024,0.0,0.0,SA,1.1668991425053294,2,1,1,0,0
A5000181951,2023,0,2024,0.0,1.0,FI,0.9722952521357118,6,-1,0,0,1
A5000190108,2015,1,2016,0.0,0.0,CN,0.1525719858896758,1,-1,0,0,0
A5000190108,2016,1,2016,0.0,0.0,CN,0.2682123334156603,1,0,1,1,0
A5000190108,2018,1,2016,0.0,0.0,CN,0.3856341640019088,1,2,1,1,0
A5000190108,2019,1,2016,0.0,0.0,CN,0.5640890782171392,1,3,1,1,0
A5000190108,2022,1,2016,0.0,0.0,CN,0.2387569500244453,2,6,1,1,0
A5000190108,2023,1,2016,0.0,0.0,CN,0.597008974302397,4,7,1,1,0
A5000190108,2024,1,2016,0.0,0.0,CN,0.6139030956145285,3,8,1,1,0
A5000190108,2025,1,2016,0.0,0.0,CN,0.2804565631343517,4,9,1,1,0
A5000191626,2022,1,2025,0.0,0.0,US,0.1685762724949991,1,-3,0,0,0
A5000191626,2025,1,2025,0.0,0.0,US,0.355303989240741,2,0,1,1,0
A5000192508,2021,1,2022,0.0,1.0,US,0.1098553049603198,1,-1,0,0,1
A5000192508,2022,1,2022,0.0,1.0,US,0.5147785028992113,1,0,1,1,1
A5000192508,2024,1,2022,0.0,1.0,US,0.0,1,2,1,1,1
A5000196131,2022,1,2024,0.0,0.0,CN,0.3565851581073178,1,-2,0,0,0
A5000196131,2023,1,2024,0.0,0.0,CN,0.0725943690336118,1,-1,0,0,0
A5000196131,2024,1,2024,0.0,0.0,CN,1.1341553443767824,1,0,1,1,0
A5000198040,2023,1,2025,0.0,1.0,CN,0.2036612598241103,1,-2,0,0,1
A5000198040,2025,1,2025,0.0,1.0,CN,0.1776519946203705,4,0,1,1,1
A5000206566,2019,1,2024,0.0,0.0,IT,0.4177401729609777,1,-5,0,0,0
A5000206566,2020,1,2024,0.0,0.0,IT,0.3177120693002914,2,-4,0,0,0
A5000206566,2021,1,2024,0.0,0.0,IT,0.3708778243332192,3,-3,0,0,0
A5000206566,2022,1,2024,0.0,0.0,IT,0.3565851581073178,1,-2,0,0,0
A5000206566,2024,1,2024,0.0,0.0,IT,0.5323026880543988,1,0,1,1,0
A5000210772,2018,1,2020,0.0,1.0,IN,0.5107902276281063,1,-2,0,0,1
A5000210772,2020,1,2020,0.0,1.0,IN,0.5258512172175481,3,0,1,1,1
A5000210772,2021,1,2020,0.0,1.0,IN,0.0,1,1,1,1,1
A5000210772,2023,1,2020,0.0,1.0,IN,0.1316346593664316,2,3,1,1,1
A5000210772,2025,1,2020,0.0,1.0,IN,0.0,1,5,1,1,1
A5000210772,2026,1,2020,0.0,1.0,IN,0.0,1,6,1,1,1
A5000215116,2023,1,2025,0.0,0.0,AT,0.2036612598241103,1,-2,0,0,0
A5000215116,2024,1,2025,0.0,0.0,AT,0.1618741187236042,1,-1,0,0,0
A5000215116,2025,1,2025,0.0,0.0,AT,1.9090189395021369,2,0,1,1,0
A5000231514,2024,1,2025,0.0,0.0,CN,0.0,3,-1,0,0,0
A5000231514,2025,1,2025,0.0,0.0,CN,0.0,1,0,1,1,0
A5000237739,2022,1,2025,0.0,0.0,US,0.0,1,-3,0,0,0
A5000237739,2023,1,2025,0.0,0.0,US,0.0725943690336118,1,-2,0,0,0
A5000237739,2024,1,2025,0.0,0.0,US,0.1618741187236042,1,-1,0,0,0
A5000237739,2025,1,2025,0.0,0.0,US,0.5609131262687035,2,0,1,1,0
A5000237783,2021,1,2023,0.0,0.0,Unknown,0.1605656399304993,1,-2,0,0,0
A5000237783,2022,1,2023,0.0,0.0,Unknown,0.0,1,-1,0,0,0
A5000237783,2023,1,2023,0.0,0.0,Unknown,0.0,1,0,1,1,0
A5000237783,2024,1,2023,0.0,0.0,Unknown,0.0,1,1,1,1,0
A5000248352,2017,1,2018,0.0,0.0,TH,2.083972929743277,2,-1,0,0,0
A5000248352,2018,1,2018,0.0,0.0,TH,0.9608713836116174,5,0,1,1,0
A5000248352,2019,1,2018,0.0,0.0,TH,0.6948173089446618,5,1,1,1,0
A5000248352,2020,1,2018,0.0,0.0,TH,1.0747850899790417,2,2,1,1,0
A5000248352,2022,1,2018,0.0,0.0,TH,0.8903993054924528,8,4,1,1,0
A5000248352,2023,1,2018,0.0,0.0,TH,0.9355606092545992,8,5,1,1,0
A5000248352,2024,1,2018,0.0,0.0,TH,0.2199318629163923,7,6,1,1,0
A5000248352,2025,1,2018,0.0,0.0,TH,0.2311856554091246,11,7,1,1,0
A5000254206,2019,1,2021,1.0,0.0,JP,0.0391116886458061,1,-2,0,0,1
A5000254206,2021,1,2021,1.0,0.0,JP,0.8229827076797639,1,0,1,1,1
A5000254206,2022,1,2021,1.0,0.0,JP,0.7617789650279085,2,1,1,1,1
A5000258378,2018,0,2020,0.0,1.0,CN,0.3003669484780927,2,-2,0,0,1
A5000258378,2019,0,2020,0.0,1.0,CN,1.0895143091734207,2,-1,0,0,1
A5000259354,2018,0,2019,0.0,0.0,US,0.6632513128396358,1,-1,0,0,0
A5000259354,2018,0,2024,0.0,0.0,US,0.6632513128396358,1,-6,0,0,0
A5000259354,2024,0,2019,0.0,0.0,US,0.0,2,5,1,0,0
A5000259354,2024,0,2024,0.0,0.0,US,0.0,2,0,1,0,0
A5000259354,2025,0,2019,0.0,0.0,US,0.0,1,6,1,0,0
A5000259354,2025,0,2024,0.0,0.0,US,0.0,1,1,1,0,0
A5000284125,2021,1,2022,0.0,0.0,CN,0.4402515105611991,2,-1,0,0,0
A5000284125,2022,1,2022,0.0,0.0,CN,1.3860698814242405,1,0,1,1,0
A5000284125,2025,1,2022,0.0,0.0,CN,1.538761307025852,2,3,1,1,0
A5000293382,2022,1,2025,0.0,0.0,Unknown,0.2189946910175914,1,-3,0,0,0
A5000293382,2023,1,2025,0.0,0.0,Unknown,0.9186421713436176,1,-2,0,0,0
A5000293382,2025,1,2025,0.0,0.0,Unknown,0.236869326160494,3,0,1,1,0
A5000295734,2019,1,2024,0.0,0.0,HK,2.025683688329818,1,-5,0,0,0
A5000295734,2024,1,2024,0.0,0.0,HK,0.0,1,0,1,1,0
A5000295734,2025,1,2024,0.0,0.0,HK,0.6897642371429928,4,1,1,1,0
A5000300454,2020,1,2021,0.0,0.0,Unknown,0.2537236011782942,1,-1,0,0,0
A5000300454,2021,1,2021,0.0,0.0,Unknown,2.1319699460606283,1,0,1,1,0
A5000300454,2022,1,2021,0.0,0.0,Unknown,0.7714578534079553,1,1,1,1,0
A5000300454,2023,1,2021,0.0,0.0,Unknown,0.0362971845168059,2,2,1,1,0
A5000300454,2026,1,2021,0.0,0.0,Unknown,0.0,2,5,1,1,0
A5000301628,2022,1,2023,0.0,0.0,CN,0.2625807153011584,2,-1,0,0,0
A5000301628,2023,1,2023,0.0,0.0,CN,0.8444427477770913,8,0,1,1,0
A5000301628,2024,1,2023,0.0,0.0,CN,0.384818089365024,8,1,1,1,0
A5000301628,2025,1,2023,0.0,0.0,CN,0.7818378679292943,7,2,1,1,0
A5000307942,2021,1,2024,0.0,1.0,KR,0.7434159374149404,1,-3,0,0,1
A5000307942,2023,1,2024,0.0,1.0,KR,0.0467578651434895,3,-1,0,0,1
A5000307942,2024,1,2024,0.0,1.0,KR,0.4469577809866935,3,0,1,1,1
A5000307942,2025,1,2024,0.0,1.0,KR,0.0,1,1,1,1,1
A5000312477,2019,1,2024,0.0,0.0,Unknown,0.2418455109322628,2,-5,0,0,0
A5000312477,2021,1,2024,0.0,0.0,Unknown,0.2548680886850014,1,-3,0,0,0
A5000312477,2024,1,2024,0.0,0.0,Unknown,0.1618741187236042,1,0,1,1,0
A5000314582,2018,1,2019,0.0,0.0,CN,0.421142518913126,2,-1,0,0,0
A5000314582,2019,1,2019,0.0,0.0,CN,0.2243435004650357,2,0,1,1,0
A5000314582,2020,1,2019,0.0,0.0,CN,0.2903919842688713,1,1,1,1,0
A5000319084,2017,1,2024,0.0,1.0,CN,0.0691706498336334,1,-7,0,0,1
A5000319084,2023,1,2024,0.0,1.0,CN,0.4233442726749537,1,-1,0,0,1
A5000319084,2024,1,2024,0.0,1.0,CN,0.0,1,0,1,1,1
A5000324077,2019,0,2020,0.0,1.0,US,0.730895059003465,1,-1,0,0,1
A5000324077,2019,0,2023,0.0,1.0,US,0.730895059003465,1,-4,0,0,1
A5000324077,2020,0,2020,0.0,1.0,US,0.4700478341302816,2,0,1,0,1
A5000324077,2020,0,2023,0.0,1.0,US,0.4700478341302816,2,-3,0,0,1
A5000324077,2021,0,2020,0.0,1.0,US,0.1944045423631945,5,1,1,0,1
A5000324077,2021,0,2023,0.0,1.0,US,0.1944045423631945,5,-2,0,0,1
A5000327506,2019,1,2024,0.0,0.0,Unknown,0.0767510574112736,1,-5,0,0,0
A5000327506,2023,1,2024,0.0,0.0,Unknown,0.0,1,-1,0,0,0
A5000327506,2024,1,2024,0.0,0.0,Unknown,0.0,1,0,1,1,0
A5000327506,2025,1,2024,0.0,0.0,Unknown,0.0,6,1,1,1,0
A5000327506,2026,1,2024,0.0,0.0,Unknown,0.0,4,2,1,1,0
A5000329853,2021,0,2022,0.0,1.0,US,0.1545653867726683,3,-1,0,0,1
A5000329853,2022,0,2022,0.0,1.0,US,3.459048025931467,1,0,1,0,1
A5000336211,2019,1,2024,0.0,1.0,CN,0.3842924198800715,2,-5,0,0,1
A5000336211,2022,1,2024,0.0,1.0,CN,0.6513312050643743,1,-2,0,0,1
A5000336211,2024,1,2024,0.0,1.0,CN,0.0809370593618021,2,0,1,1,1
A5000337879,2017,1,2024,0.0,0.0,CN,0.2236767915669183,1,-7,0,0,0
A5000337879,2018,1,2024,0.0,0.0,CN,0.927933265363024,1,-6,0,0,0
A5000337879,2019,1,2024,0.0,0.0,CN,0.3028424964071365,2,-5,0,0,0
A5000337879,2020,1,2024,0.0,0.0,CN,0.4167234734499706,2,-4,0,0,0
A5000337879,2023,1,2024,0.0,0.0,CN,0.0701367977152343,2,-1,0,0,0
A5000337879,2024,1,2024,0.0,0.0,CN,1.3076669154219056,2,0,1,1,0
A5000341533,2024,1,2025,0.0,0.0,HK,0.3011591944568682,1,-1,0,0,0
A5000341533,2025,1,2025,0.0,0.0,HK,0.355303989240741,2,0,1,1,0
A5000341735,2021,1,2024,0.0,0.0,Unknown,0.0,1,-3,0,0,0
A5000341735,2024,1,2024,0.0,0.0,Unknown,0.0,2,0,1,1,0
A5000341735,2025,1,2024,0.0,0.0,Unknown,0.0,1,1,1,1,0
A5000345106,2021,0,2024,0.0,1.0,GB,1.0899016469934968,1,-3,0,0,1
A5000345106,2022,0,2024,0.0,1.0,GB,0.7993628332986948,1,-2,0,0,1
A5000345106,2024,0,2024,0.0,1.0,GB,0.9483357948416592,1,0,1,0,1
A5000349453,2021,1,2024,0.0,0.0,HK,1.9092120548972693,1,-3,0,0,0
A5000349453,2022,1,2024,0.0,0.0,HK,0.753486202343938,3,-2,0,0,0
A5000349453,2023,1,2024,0.0,0.0,HK,2.143522252381192,1,-1,0,0,0
A5000349453,2024,1,2024,0.0,0.0,HK,0.5716583728497765,2,0,1,1,0
A5000349453,2025,1,2024,0.0,0.0,HK,0.0,1,1,1,1,0
A5000357737,2023,0,2020,0.0,1.0,US,0.0725943690336118,1,3,1,0,1
A5000357737,2023,0,2024,0.0,1.0,US,0.0725943690336118,1,-1,0,0,1
A5000357737,2023,0,2025,0.0,1.0,US,0.0725943690336118,1,-2,0,0,1
A5000357737,2024,0,2020,0.0,1.0,US,0.515376764174765,12,4,1,0,1
A5000357737,2024,0,2024,0.0,1.0,US,0.515376764174765,12,0,1,0,1
A5000357737,2024,0,2025,0.0,1.0,US,0.515376764174765,12,-1,0,0,1
A5000357737,2025,0,2020,0.0,1.0,US,1.121826252537407,1,5,1,0,1
A5000357737,2025,0,2024,0.0,1.0,US,1.121826252537407,1,1,1,0,1
A5000357737,2025,0,2025,0.0,1.0,US,1.121826252537407,1,0,1,0,1
A5000357955,2019,0,2022,0.0,0.0,IT,0.2812667160852062,5,-3,0,0,0
A5000357955,2025,0,2022,0.0,0.0,IT,0.0,1,3,1,0,0
A5000360196,2023,1,2024,0.0,0.0,Unknown,0.4142206288780556,2,-1,0,0,0
A5000360196,2024,1,2024,0.0,0.0,Unknown,0.387602943682076,3,0,1,1,0
A5000360196,2025,1,2024,0.0,0.0,Unknown,0.0,4,1,1,1,0
A5000373444,2021,1,2025,0.0,0.0,Unknown,0.8229544112613848,2,-4,0,0,0
A5000373444,2025,1,2025,0.0,0.0,Unknown,0.0,1,0,1,1,0
A5000373444,2026,1,2025,0.0,0.0,Unknown,0.0,1,1,1,1,0
A5000376251,2017,1,2025,0.0,1.0,CN,0.1647070472879682,1,-8,0,0,1
A5000376251,2025,1,2025,0.0,1.0,CN,0.0,2,0,1,1,1
A5000377588,2017,1,2024,0.0,0.0,PS,0.0351832780744563,1,-7,0,0,0
A5000377588,2024,1,2024,0.0,0.0,PS,0.0,1,0,1,1,0
A5000377588,2025,1,2024,0.0,0.0,PS,1.412372543287041,1,1,1,1,0
A5000382679,2017,1,2024,0.0,0.0,CH,0.4912601263310335,2,-7,0,0,0
A5000382679,2024,1,2024,0.0,0.0,CH,1.3379954500315565,1,0,1,1,0
A5000389167,2023,1,2026,0.0,1.0,SE,0.4233442726749537,1,-3,0,0,1
A5000389167,2024,1,2026,0.0,1.0,SE,0.1003863981522894,3,-2,0,0,1
A5000389167,2025,1,2026,0.0,1.0,SE,0.1776519946203705,4,-1,0,0,1
A5000389167,2026,1,2026,0.0,1.0,SE,0.0,4,0,1,1,1
A5000390160,2021,1,2022,1.0,0.0,US,0.7154217795236545,1,-1,0,0,1
A5000390160,2022,1,2022,1.0,0.0,US,0.82607216842199,2,0,1,1,1
A5000390160,2023,1,2022,1.0,0.0,US,0.0,1,1,1,1,1
A5000390160,2026,1,2022,1.0,0.0,US,0.0,2,4,1,1,1
A5000392937,2024,1,2025,0.0,1.0,US,0.7015671986604961,2,-1,0,0,1
A5000392937,2025,1,2025,0.0,1.0,US,1.412372543287041,1,0,1,1,1
A5000394070,2025,0,2025,0.0,0.0,Unknown,0.236869326160494,3,0,1,0,0
A5000394070,2025,0,2026,0.0,0.0,Unknown,0.236869326160494,3,-1,0,0,0
A5000400540,2021,0,2024,0.0,1.0,CN,0.1274340443425007,2,-3,0,0,1
A5000400540,2022,0,2024,0.0,1.0,CN,1.3390674407246008,1,-2,0,0,1
A5000403449,2020,1,2026,0.0,0.0,Unknown,0.0,1,-6,0,0,0
A5000403449,2021,1,2026,0.0,0.0,Unknown,0.0,1,-5,0,0,0
A5000403449,2026,1,2026,0.0,0.0,Unknown,0.0,2,0,1,1,0
A5000408865,2016,1,2017,0.0,0.0,PL,0.3918325882732028,2,-1,0,0,0
A5000408865,2017,1,2017,0.0,0.0,PL,2.2713612274707997,5,0,1,1,0
