author_id,year,avg_logRCR,yearly_paper_count,total_papers_raw,is_treated,event_year,relative_year,Post,DID_term,primary_origin_field,T0_year,institution,is_industry_elite,is_academic_elite,country_code,is_elite_overall
A5001226970,2016,3.8985999850960056,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2015,Courant Institute of Mathematical Sciences,0.0,0.0,US,0
A5032356827,2016,3.8985999850960056,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2015,Google (United States),1.0,0.0,US,1
A5089005116,2015,3.8985999850960056,1,1,0,9999,,0.0,0.0,Engineering,2015,Tianjin Normal University,0.0,0.0,CN,0
A5000486289,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Medicine,2016,,0.0,0.0,,0
A5018244514,2016,3.520143085636538,2,2,0,9999,,0.0,0.0,Medicine,2016,China Mobile (China),0.0,1.0,CN,1
A5040943755,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016,Wellcome / EPSRC Centre for Interventional and Surgical Sciences,0.0,0.0,GB,0
A5040953494,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016,Twitter (United States),0.0,0.0,US,0
A5039768232,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016,Peruvian University of Applied Sciences,0.0,0.0,PE,0
A5068406135,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5004918186,2016,3.8985999850960056,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016,Google (United States),1.0,0.0,US,1
A5091179481,2016,2.739525180328427,2,2,1,2018,-2.0,0.0,0.0,Computer Science,2016,Stanford Medicine,0.0,0.0,US,0
A5065266390,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016,HeartFlow (United States),0.0,0.0,US,0
A5109600054,2016,3.509410966302388,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,"Rutgers, The State University of New Jersey",0.0,0.0,US,0
A5100444820,2016,3.509410966302388,1,1,1,2019,-3.0,0.0,0.0,Physics and Astronomy,2016,Sinopec (China),0.0,1.0,CN,1
A5066553616,2016,3.509410966302388,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016,Shanghai Jiao Tong University,0.0,1.0,CN,1
A5071983998,2015,3.1917533174420027,2,2,1,2017,-2.0,0.0,0.0,Computer Science,2014,Carnegie Mellon University,0.0,1.0,US,1
A5066666034,2016,3.728232078402323,2,2,1,2019,-3.0,0.0,0.0,Computer Science,2016,Taoyuan Chang Gung Memorial Hospital,0.0,0.0,TW,0
A5090720315,2016,3.757872325600888,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,Shanghai Jiao Tong University,0.0,1.0,CN,1
A5001571390,2016,3.757872325600888,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,Shanghai Jiao Tong University,0.0,1.0,CN,1
A5068559249,2016,3.757872325600888,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5086198262,2016,2.489881945855753,15,15,1,2018,-2.0,0.0,0.0,Computer Science,2014,Microsoft (United States),1.0,0.0,US,1
A5057271863,2016,3.5179216559702966,1,1,0,9999,,0.0,0.0,Computer Science,2016,Harbin Institute of Technology,0.0,1.0,CN,1
A5041142359,2014,1.9492999925480028,2,2,1,2016,-2.0,0.0,0.0,Computer Science,2014,University of Bremen,0.0,0.0,DE,0
A5068830343,2016,3.1780538303479458,1,1,0,9999,,0.0,0.0,Computer Science,2016,Hatch (Canada),0.0,0.0,CA,0
A5100404176,2016,3.140999844271085,2,2,1,2019,-3.0,0.0,0.0,Computer Science,2016,Hebei Medical University,0.0,0.0,CN,0
A5037736834,2016,3.4522525524624394,1,1,0,9999,,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5026322200,2016,3.4522525524624394,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5003562101,2016,3.4854866690415967,3,3,1,2016,0.0,1.0,1.0,Computer Science,2014,Unknown,0.0,0.0,Unknown,0
A5109103806,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Engineering,2014,Harbin Institute of Technology,0.0,1.0,CN,1
A5066405061,2016,1.3981844090398032,2,2,0,9999,,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5012909412,2016,2.147783817996884,3,3,0,9999,,0.0,0.0,Medicine,2014,National Institutes of Health,0.0,0.0,US,0
A5020724249,2016,2.147783817996884,3,3,0,9999,,0.0,0.0,Medicine,2014,IBM (United States),1.0,0.0,US,1
A5045383831,2016,2.566095247837032,2,2,1,2019,-3.0,0.0,0.0,Computer Science,2015,Google (United States),1.0,0.0,US,1
A5016973102,2014,3.047912281216113,2,2,1,2016,-2.0,0.0,0.0,Computer Science,2014,University of Chinese Academy of Sciences,0.0,1.0,CN,1
A5084125668,2016,1.5583424419858267,2,2,0,9999,,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5010409710,2016,1.455287232606842,1,1,0,9999,,0.0,0.0,Computer Science,2016,Normandie Université,0.0,0.0,FR,0
A5053990531,2016,2.496569888903842,2,2,1,2018,-2.0,0.0,0.0,Computer Science,2014,,0.0,0.0,,0
A5055733526,2016,2.5638735092979146,3,3,0,9999,,0.0,0.0,Computer Science,2014,Google (United States),1.0,0.0,US,1
A5015057235,2016,2.874371416549724,1,1,0,9999,,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5052299650,2016,2.874371416549724,1,1,0,9999,,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5067370075,2016,2.0322095032288363,4,4,1,2017,-1.0,0.0,0.0,Computer Science,2016,NTT (Japan),0.0,0.0,JP,0
A5005792703,2016,1.2769497606374758,2,2,0,9999,,0.0,0.0,Computer Science,2016,Preferred Networks (Japan),0.0,0.0,JP,0
A5102016617,2016,1.2769497606374758,2,2,0,9999,,0.0,0.0,Engineering,2016,Yamaguchi University,0.0,0.0,JP,0
A5050928023,2016,0.91383271172325,3,3,1,2019,-3.0,0.0,0.0,Computer Science,2016,Seoul National University,0.0,1.0,KR,1
A5074393185,2016,1.370749067584875,2,2,1,2017,-1.0,0.0,0.0,Computer Science,2016,Naver (South Korea),0.0,0.0,KR,0
A5012909412,2015,2.257122718917288,1,1,0,9999,,0.0,0.0,Medicine,2014,National Institutes of Health,0.0,0.0,US,0
A5020724249,2015,1.9332803156756944,2,2,0,9999,,0.0,0.0,Medicine,2014,IBM (United States),1.0,0.0,US,1
A5036747535,2016,1.2729656758128876,1,1,0,9999,,0.0,0.0,Computer Science,2015,Binghamton University,0.0,0.0,US,0
A5031329242,2016,1.2729656758128876,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5052213409,2016,2.005333569526114,1,1,0,9999,,0.0,0.0,Computer Science,2016,Korea Advanced Institute of Science and Technology,0.0,0.0,KR,0
A5030914810,2016,2.2881963555419462,1,1,1,2017,-1.0,0.0,0.0,Agricultural and Biological Sciences,2016,University of Nottingham,0.0,1.0,GB,1
A5054437456,2016,1.8372453583309185,2,2,1,2017,-1.0,0.0,0.0,Medicine,2016,University of Edinburgh,0.0,1.0,GB,1
A5041142359,2016,1.0986122886681098,1,1,1,2016,0.0,1.0,1.0,Computer Science,2014,University of Bremen,0.0,0.0,DE,0
A5077819827,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5019313200,2016,0.905708622543618,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016,University of Nottingham Ningbo China,0.0,1.0,CN,1
A5114259459,2016,0.905708622543618,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016,China University of Mining and Technology,0.0,1.0,CN,1
A5012909412,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Medicine,2014,National Institutes of Health,0.0,0.0,US,0
A5020724249,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Medicine,2014,IBM (United States),1.0,0.0,US,1
A5100664729,2015,3.0742341479588235,2,2,1,2017,-2.0,0.0,0.0,Computer Science,2015,Seoul National University,0.0,1.0,KR,1
A5076236753,2016,1.002666784763057,2,2,0,9999,,0.0,0.0,Computer Science,2016,Universitas Pendidikan Ganesha,0.0,0.0,ID,0
A5063992777,2016,1.002666784763057,2,2,0,9999,,0.0,0.0,Computer Science,2016,"Laboratoire Informatique, Image et Interaction (L3i)",0.0,0.0,,0
A5073217095,2016,1.002666784763057,2,2,0,9999,,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5112608251,2016,2.1774913285006483,7,7,1,2018,-2.0,0.0,0.0,Computer Science,2014,,0.0,0.0,,0
A5109267551,2016,0.7621400520468967,1,1,0,9999,,0.0,0.0,Computer Science,2016,ACT Foundation,0.0,0.0,US,0
A5000350952,2016,2.3813485420844147,2,2,0,9999,,0.0,0.0,Neuroscience,2016,Harvard University,0.0,1.0,US,1
A5101657686,2016,2.3813485420844147,2,2,0,9999,,0.0,0.0,Computer Science,2016,National Physical Laboratory,0.0,0.0,GB,0
A5027893749,2016,0.5520685823000397,1,1,0,9999,,0.0,0.0,Computer Science,2016,Alpha Omega Alpha Medical Honor Society,0.0,0.0,US,0
A5085050428,2016,1.550597412411167,1,1,0,9999,,0.0,0.0,Computer Science,2016,Adobe Systems (United States),0.0,1.0,US,1
A5016775802,2016,1.550597412411167,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5101628460,2015,1.6094379124341005,1,1,1,2017,-2.0,0.0,0.0,Computer Science,2015,University of Science and Technology of China,0.0,1.0,CN,1
A5082520166,2016,0.4228568508200335,1,1,0,9999,,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5100337209,2015,2.4423470353692043,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2015,Central China Normal University,0.0,1.0,CN,1
A5024152018,2015,1.9459101490553128,1,1,0,9999,,0.0,0.0,Computer Science,2015,,0.0,0.0,,0
A5110293322,2016,3.8985999850960056,2,2,0,9999,,0.0,0.0,Engineering,2016,Microsoft Research (United Kingdom),1.0,0.0,GB,1
A5051250767,2016,3.8985999850960056,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5037841139,2015,1.791759469228055,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2014,Asahi Kasei (Germany),0.0,0.0,DE,0
A5109512832,2015,1.791759469228055,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2015,Asahi Kasei (Germany),0.0,0.0,DE,0
A5102883508,2016,3.402360049980155,2,2,1,2018,-2.0,0.0,0.0,Computer Science,2016,The University of Sydney,0.0,1.0,AU,1
A5032356827,2015,3.580427745886437,1,1,1,2017,-2.0,0.0,0.0,Computer Science,2015,Google (United States),1.0,0.0,US,1
A5004271128,2015,3.580427745886437,1,1,1,2017,-2.0,0.0,0.0,Computer Science,2014,,0.0,0.0,,0
A5085020955,2016,3.8985999850960056,2,2,1,2019,-3.0,0.0,0.0,Computer Science,2016,Citigroup,1.0,0.0,US,1
A5060193696,2015,1.0986122886681098,1,1,0,9999,,0.0,0.0,Computer Science,2015,,0.0,0.0,,0
A5061465935,2016,0.0392207131532812,1,1,0,9999,,0.0,0.0,Computer Science,2016,NTT (Japan),0.0,0.0,JP,0
A5101540588,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016,Nvidia (United States),1.0,0.0,US,1
A5080738214,2016,0.6931471805599453,1,1,0,9999,,0.0,0.0,Medicine,2016,Dokuz Eylül University,0.0,0.0,TR,0
A5078494006,2016,0.6931471805599453,1,1,1,2019,-3.0,0.0,0.0,Medicine,2016,Yale University,0.0,1.0,US,1
A5112608251,2015,3.1621527609425706,5,5,1,2018,-3.0,0.0,0.0,Computer Science,2014,,0.0,0.0,,0
A5086198262,2015,2.8102130612221954,10,10,1,2018,-3.0,0.0,0.0,Computer Science,2014,Microsoft (United States),1.0,0.0,US,1
A5041723842,2016,0.538996500732687,1,1,0,9999,,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5001033487,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5074301645,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016,Institute on Taxation and Economic Policy,0.0,0.0,US,0
A5071516373,2014,1.3862943611198906,1,1,0,9999,,0.0,0.0,Computer Science,2014,"Vietnam National University, Hanoi",0.0,1.0,VN,1
A5004153109,2015,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,Industrial Research Institute of Ishikawa,0.0,0.0,JP,0
A5016973102,2016,0.1335313926245226,1,1,1,2016,0.0,1.0,1.0,Computer Science,2014,University of Chinese Academy of Sciences,0.0,1.0,CN,1
A5000111344,2015,3.8985999850960056,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2014,Amazon (United States),1.0,0.0,US,1
A5025071606,2016,3.8985999850960056,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016,Stanford University,0.0,1.0,US,1
A5034424874,2016,2.9722967963541507,2,2,0,9999,,0.0,0.0,Environmental Science,2016,University of British Columbia,0.0,1.0,CA,1
A5086852785,2016,3.8985999850960056,1,1,1,2018,-2.0,0.0,0.0,Neuroscience,2016,Wellcome Centre for Human Neuroimaging,0.0,0.0,GB,0
A5103227343,2014,0.6931471805599453,1,1,0,9999,,0.0,0.0,Computer Science,2014,PLA Information Engineering University,0.0,0.0,CN,0
A5055835358,2015,1.6094379124341005,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2014,Nagoya University,0.0,1.0,JP,1
A5051781184,2015,1.6094379124341005,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2014,Jikei University School of Medicine,0.0,0.0,JP,0
A5072304825,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2015,,0.0,0.0,,0
A5112713734,2016,3.8985999850960056,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5076418776,2016,3.630038954091003,1,1,0,9999,,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5090113830,2016,2.887443498117076,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5070290355,2016,2.887443498117076,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,University of Freiburg,0.0,0.0,DE,0
A5067036768,2016,1.7676619176489945,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5071983998,2016,1.7676619176489945,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2014,Carnegie Mellon University,0.0,1.0,US,1
A5018676117,2015,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2015,Warsaw University of Technology,0.0,1.0,PL,1
A5083182987,2015,3.8985999850960056,1,1,1,2017,-2.0,0.0,0.0,Mathematics,2015,Guangdong University of Technology,0.0,1.0,CN,1
A5067483843,2016,2.665032816018519,1,1,0,9999,,0.0,0.0,Computer Science,2016,Google (United States),1.0,0.0,US,1
A5045751957,2016,2.665032816018519,1,1,0,9999,,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5065728469,2016,2.586689344097943,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016,Seoul National University,0.0,1.0,KR,1
A5004153109,2016,2.6984807500860595,1,1,0,9999,,0.0,0.0,Computer Science,2014,Industrial Research Institute of Ishikawa,0.0,0.0,JP,0
A5059792149,2016,2.6984807500860595,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,,0.0,0.0,,0
A5035519525,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,Nanjing Agricultural University,0.0,0.0,CN,0
A5103750792,2016,1.201334275775514,2,2,0,9999,,0.0,0.0,Engineering,2016,Heriot-Watt University,0.0,1.0,GB,1
A5101419280,2016,2.542726220676826,1,1,0,9999,,0.0,0.0,Engineering,2016,"Vignan's Foundation for Science, Technology & Research",0.0,0.0,IN,0
A5001226970,2015,3.7727609380946383,1,1,1,2017,-2.0,0.0,0.0,Computer Science,2015,Courant Institute of Mathematical Sciences,0.0,0.0,US,0
A5088180679,2015,3.7727609380946383,1,1,0,9999,,0.0,0.0,Computer Science,2015,Google DeepMind (United Kingdom),1.0,0.0,GB,1
A5070217169,2016,2.071435437073629,2,2,0,9999,,0.0,0.0,Computer Science,2016,Qingdao University,0.0,0.0,CN,0
A5084499878,2016,2.124465223053792,1,1,1,2017,-1.0,0.0,0.0,Engineering,2016,Lutheran University of Applied Sciences Nuremberg,0.0,0.0,DE,0
A5012455275,2016,1.086032179340494,3,3,0,9999,,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5103216531,2016,3.483435479899128,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016,Sul Ross State University,0.0,0.0,US,0
A5053984717,2015,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2015,META Health,1.0,0.0,US,1
A5071715737,2016,2.330755969960742,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,Google (United States),1.0,0.0,US,1
A5101787514,2016,2.330755969960742,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,IBM (United States),1.0,0.0,US,1
A5015927589,2016,2.330755969960742,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016,Google (United States),1.0,0.0,US,1
A5026951130,2016,3.045931898209889,2,2,1,2019,-3.0,0.0,0.0,Computer Science,2015,"St George's, University of London",0.0,0.0,GB,0
A5063048878,2016,0.4519851237430572,1,1,0,9999,,0.0,0.0,Computer Science,2016,Queensland University of Technology,0.0,1.0,AU,1
A5101506786,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,Tiangong University,0.0,0.0,CN,0
A5101980392,2016,3.112345034062184,1,1,0,9999,,0.0,0.0,Engineering,2016,Harbin Engineering University,0.0,1.0,CN,1
A5101391750,2016,0.826678573184468,1,1,0,9999,,0.0,0.0,Computer Science,2014,Vietnam National University Ho Chi Minh City,0.0,1.0,VN,1
A5039776447,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,,0.0,0.0,,0
A5014079156,2015,3.115520052615889,4,4,0,9999,,0.0,0.0,Computer Science,2015,"University of Maryland, College Park",0.0,1.0,US,1
A5009820805,2015,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,Dartmouth College,0.0,1.0,US,1
A5024277541,2015,2.956751502819136,2,2,0,9999,,0.0,0.0,Computer Science,2015,Institut national de recherche en sciences et technologies du numérique,0.0,0.0,FR,0
A5042662187,2016,0.9444616088408514,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5045367012,2016,2.344549292093078,1,1,0,9999,,0.0,0.0,Computer Science,2014,University of Mosul,0.0,0.0,IQ,0
A5100460385,2016,2.8982769374032777,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016,Nankai University,0.0,1.0,CN,1
A5100620306,2016,2.8982769374032777,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016,National University of Defense Technology,0.0,1.0,CN,1
A5071956319,2015,3.4339872044851463,1,1,0,9999,,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5048526734,2015,3.1060524841020367,2,2,0,9999,,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5075155488,2015,3.1060524841020367,2,2,0,9999,,0.0,0.0,Computer Science,2015,Intel (United States),1.0,0.0,US,1
A5009820805,2014,3.447166129324998,2,2,0,9999,,0.0,0.0,Computer Science,2014,Dartmouth College,0.0,1.0,US,1
A5100766907,2016,2.2881963555419462,1,1,0,9999,,0.0,0.0,Computer Science,2016,University of Science and Technology Liaoning,0.0,0.0,CN,0
A5075459505,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,Unknown,0.0,0.0,Unknown,0
A5066903927,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Agricultural and Biological Sciences,2014,Better Education Inc,0.0,0.0,US,0
A5101404293,2015,1.7346010553881064,1,1,1,2017,-2.0,0.0,0.0,Computer Science,2015,Harbin University of Science and Technology,0.0,0.0,CN,0
A5023685398,2015,1.0986122886681098,1,1,0,9999,,0.0,0.0,Computer Science,2014,University of Bristol,0.0,1.0,GB,1
A5045367012,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,University of Mosul,0.0,0.0,IQ,0
A5024171815,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,National Kaohsiung Normal University,0.0,0.0,TW,0
A5067036768,2015,2.4849066497880004,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5012276327,2015,2.4849066497880004,1,1,1,2016,-1.0,0.0,0.0,Computer Science,2015,University of Toronto,0.0,1.0,CA,1
A5007140634,2016,0.6160718406463161,2,2,0,9999,,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5029206786,2016,0.0,1,1,0,9999,,0.0,0.0,Computer Science,2016,Ryukoku University,0.0,0.0,JP,0
A5026149680,2016,1.3862943611198906,1,1,0,9999,,0.0,0.0,Medicine,2016,University of Glasgow,0.0,1.0,GB,1
A5028465673,2015,3.555348061489413,1,1,1,2017,-2.0,0.0,0.0,Medicine,2015,Jiangxi University of Traditional Chinese Medicine,0.0,0.0,CN,0
A5100602872,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,Guangdong Academy of Sciences,0.0,0.0,CN,0
A5029778327,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014,Fudan University,0.0,1.0,CN,1
A5083293468,2016,1.1325793437374645,2,2,0,9999,,0.0,0.0,Computer Science,2016,Nanyang Normal University,0.0,0.0,CN,0
A5109787260,2016,2.1316272948504063,1,1,0,9999,,0.0,0.0,Computer Science,2016,Adobe Systems (United States),0.0,1.0,US,1
A5072304825,2015,2.6390573296152584,1,1,0,9999,,0.0,0.0,Computer Science,2015,,0.0,0.0,,0
A5001641503,2016,2.005333569526114,1,1,0,9999,,0.0,0.0,Computer Science,2016,University of Stuttgart,0.0,0.0,DE,0
A5081819708,2015,0.4904146265058631,2,2,1,2017,-2.0,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5070920982,2015,0.4904146265058631,2,2,1,2017,-2.0,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
A5036801391,2015,3.068052935133617,1,1,0,9999,,0.0,0.0,Computer Science,2015,Chennai Mathematical Institute,0.0,0.0,IN,0
A5071387793,2014,3.4011973816621555,1,1,0,9999,,0.0,0.0,Computer Science,2014,Shyam Shah Medical College,0.0,0.0,IN,0
A5004153109,2014,3.471561211409714,2,2,0,9999,,0.0,0.0,Computer Science,2014,Industrial Research Institute of Ishikawa,0.0,0.0,JP,0
A5004882141,2015,3.0946451452189505,2,2,1,2018,-3.0,0.0,0.0,Computer Science,2015,Jiangsu University,0.0,0.0,CN,0
A5036747535,2015,1.7728893052366317,2,2,0,9999,,0.0,0.0,Computer Science,2015,Binghamton University,0.0,0.0,US,0
A5039776447,2015,1.9459101490553128,1,1,0,9999,,0.0,0.0,Computer Science,2014,,0.0,0.0,,0
A5026357260,2015,2.917770732084279,1,1,0,9999,,0.0,0.0,Computer Science,2015,Karlsruhe Institute of Technology,0.0,1.0,DE,1
A5059000579,2016,1.6916760106710724,1,1,0,9999,,0.0,0.0,Computer Science,2016,German Research Centre for Artificial Intelligence,0.0,0.0,DE,0
A5101904182,2016,1.6916760106710724,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016,Goethe University Frankfurt,0.0,0.0,DE,0
A5043452704,2016,1.791759469228055,1,1,0,9999,,0.0,0.0,Materials Science,2015,University of Helsinki,0.0,1.0,FI,1
A5035393324,2014,0.0,1,1,0,9999,,0.0,0.0,Computer Science,2014,Johns Hopkins University,0.0,1.0,US,1
A5036212055,2016,1.5464480110038197,2,2,0,9999,,0.0,0.0,Computer Science,2016,University of Michigan,0.0,0.0,US,0
A5102021059,2014,3.218875824868201,1,1,0,9999,,0.0,0.0,Computer Science,2014,Unknown,0.0,0.0,Unknown,0
A5101265241,2016,0.6931471805599453,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016,Unknown,0.0,0.0,Unknown,0
A5024508073,2016,1.488077055429833,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016,University of Amsterdam,0.0,1.0,NL,1
A5101391750,2014,3.198464827608073,2,2,0,9999,,0.0,0.0,Computer Science,2014,Vietnam National University Ho Chi Minh City,0.0,1.0,VN,1
A5101775198,2014,3.198464827608073,2,2,0,9999,,0.0,0.0,Computer Science,2014,Ho Chi Minh City University of Technology,0.0,1.0,VN,1
A5005636745,2016,1.455287232606842,1,1,0,9999,,0.0,0.0,Computer Science,2016,Udayana University,0.0,0.0,ID,0
A5085608858,2016,0.90941763613991,3,3,1,2018,-2.0,0.0,0.0,Computer Science,2016,University of California San Diego,0.0,1.0,US,1
A5065173286,2014,0.0,1,1,0,9999,,0.0,0.0,Medicine,2014,Yamanashi Gakuin University,0.0,0.0,JP,0
A5068820891,2016,0.9444616088408514,1,1,0,9999,,0.0,0.0,Computer Science,2016,Concordia University,0.0,1.0,CA,1
A5100397616,2015,2.6287476860138907,2,2,1,2016,-1.0,0.0,0.0,Computer Science,2014,Changchun University of Science and Technology,0.0,0.0,CN,0
A5042662187,2015,0.8047189562170501,2,2,1,2018,-3.0,0.0,0.0,Computer Science,2015,Unknown,0.0,0.0,Unknown,0
