topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,works_count
T10385,Plant Diversity and Evolution,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,291652
T12765,"Race, History, and American Society",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,289416
T12021,Social and Educational Sciences,3304,Education,33,Social Sciences,2,Social Sciences,288360
T10487,Plant and animal studies,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,287992
T11468,Genetic Mapping and Diversity in Plants and Animals,1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,284571
T12990,Medical History and Innovations,1202,History,12,Arts and Humanities,2,Social Sciences,284180
T12613,X-ray Diffraction in Crystallography,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences,284153
T11841,Nuclear Structure and Function,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,283980
T11530,Business and Management Studies,1802,Information Systems and Management,18,Decision Sciences,2,Social Sciences,283541
T12170,History and Theory of Mathematics,2614,Theoretical Computer Science,26,Mathematics,3,Physical Sciences,283368
T10391,Healthcare Policy and Management,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,282130
T11583,Advanced Measurement and Metrology Techniques,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences,280616
T10039,"Stellar, planetary, and galactic studies",3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,279983
T12510,Magneto-Optical Properties and Applications,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,279024
T10908,Analytical Chemistry and Chromatography,1607,Spectroscopy,16,Chemistry,3,Physical Sciences,277547
T12645,European history and politics,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,277344
T10037,Physics of Superconductivity and Magnetism,3104,Condensed Matter Physics,31,Physics and Astronomy,3,Physical Sciences,277326
T12254,Machine Learning in Bioinformatics,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,276778
T11494,Coleoptera Taxonomy and Distribution,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,276304
T10559,Particle Accelerators and Free-Electron Lasers,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,275986
T14335,Educational Robotics and Engineering,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,273843
T10332,Amphibian and Reptile Biology,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,272253
T12909,French Historical and Cultural Studies,1202,History,12,Arts and Humanities,2,Social Sciences,271343
T10259,Sociology and Education Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,270294
T14162,Historical and Literary Studies,3314,Anthropology,33,Social Sciences,2,Social Sciences,269841
T10351,Liver Disease Diagnosis and Treatment,2713,Epidemiology,27,Medicine,4,Health Sciences,269306
T10012,Genetic diversity and population structure,1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,268975
T13099,"Health, Medicine and Society",3600,General Health Professions,36,Health Professions,4,Health Sciences,267057
T11132,Psychoanalysis and Psychopathology Research,3203,Clinical Psychology,32,Psychology,2,Social Sciences,266769
T11354,Evolution and Paleontology Studies,1911,Paleontology,19,Earth and Planetary Sciences,3,Physical Sciences,265706
T14388,Medieval European History and Architecture,1204,Archeology,12,Arts and Humanities,2,Social Sciences,264580
T14021,Medieval European Literature and History,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,264425
T12762,Crystallography and Radiation Phenomena,3104,Condensed Matter Physics,31,Physics and Astronomy,3,Physical Sciences,264361
T13622,Historical and Environmental Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,263566
T11484,Adaptive optics and wavefront sensing,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,263560
T13800,Earthquake and Disaster Impact Studies,3313,Transportation,33,Social Sciences,2,Social Sciences,263165
T13068,Ancient Mediterranean Archaeology and History,1204,Archeology,12,Arts and Humanities,2,Social Sciences,258863
T13031,Civil and Structural Engineering Research,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences,257725
T12373,Linguistic research and analysis,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,255193
T10825,Plant Pathogens and Fungal Diseases,1307,Cell Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,253473
T10320,Neural Networks and Applications,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,251109
T10095,Cosmology and Gravitation Theories,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,250033
T13398,Data Analysis with R,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,248605
T12039,Electron and X-Ray Spectroscopy Techniques,2508,"Surfaces, Coatings and Films",25,Materials Science,3,Physical Sciences,246675
T11159,Manufacturing Process and Optimization,2209,Industrial and Manufacturing Engineering,22,Engineering,3,Physical Sciences,246183
T12148,Brazilian Legal Issues,3308,Law,33,Social Sciences,2,Social Sciences,245734
T10025,Black Holes and Theoretical Physics,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,245437
T11808,Superconducting Materials and Applications,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences,244109
T13856,Advanced Power Generation Technologies,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,244075
T13621,Ancient and Medieval Archaeology Studies,1204,Archeology,12,Arts and Humanities,2,Social Sciences,243238
T10794,Islamic Studies and History,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,242820
T10255,Oceanographic and Atmospheric Processes,1910,Oceanography,19,Earth and Planetary Sciences,3,Physical Sciences,242719
T12219,Canadian Identity and History,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,241118
T11930,"Cardiac, Anesthesia and Surgical Outcomes",2705,Cardiology and Cardiovascular Medicine,27,Medicine,4,Health Sciences,239564
T12004,Advanced Frequency and Time Standards,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,239372
T13332,"Historical Studies on Reproduction, Gender, Health, and Societal Changes",1202,History,12,Arts and Humanities,2,Social Sciences,237965
T14339,Image Processing and 3D Reconstruction,1707,Computer Vision and Pattern Recognition,17,Computer Science,3,Physical Sciences,237382
T12771,Plant pathogens and resistance mechanisms,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,236697
T10038,Tuberculosis Research and Epidemiology,2725,Infectious Diseases,27,Medicine,4,Health Sciences,236654
T13064,Dutch Social and Cultural Studies,3304,Education,33,Social Sciences,2,Social Sciences,236561
T10128,Global trade and economics,2000,"General Economics, Econometrics and Finance",20,"Economics, Econometrics and Finance",2,Social Sciences,236279
T10021,EFL/ESL Teaching and Learning,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,234596
T10026,"Galaxies: Formation, Evolution, Phenomena",3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,233427
T13379,"Multiculturalism, Politics, Migration, Gender",3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,233113
T13394,"Ecology, Conservation, and Geographical Studies",2309,Nature and Landscape Conservation,23,Environmental Science,3,Physical Sciences,232234
T10224,Quantum Chromodynamics and Particle Interactions,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,231902
T13184,Research in Social Sciences,3304,Education,33,Social Sciences,2,Social Sciences,231360
T14495,Public Health and Nutrition,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences,230634
T13053,SMEs Development and Digital Marketing,3317,Demography,33,Social Sciences,2,Social Sciences,230499
T14102,Corporate Governance and Law,1408,Strategy and Management,14,"Business, Management and Accounting",2,Social Sciences,229966
T13418,Photocathodes and Microchannel Plates,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences,229814
T13807,Cultural Insights and Digital Impacts,1705,Computer Networks and Communications,17,Computer Science,3,Physical Sciences,229408
T10605,Historical Economic and Social Studies,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,229062
T10077,Neuroscience and Neuropharmacology Research,2804,Cellular and Molecular Neuroscience,28,Neuroscience,1,Life Sciences,228834
T14156,Engineering Applied Research,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences,228684
T10683,Mass Spectrometry Techniques and Applications,1607,Spectroscopy,16,Chemistry,3,Physical Sciences,228577
T10765,Marine Biology and Ecology Research,1910,Oceanography,19,Earth and Planetary Sciences,3,Physical Sciences,228062
T12267,Diet and metabolism studies,2737,Physiology,27,Medicine,4,Health Sciences,227982
T13656,"Science, Research, and Medicine",2743,Reproductive Medicine,27,Medicine,4,Health Sciences,227707
T14449,Education and Character Development,3304,Education,33,Social Sciences,2,Social Sciences,226932
T10153,"Education, sociology, and vocational training",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,226285
T10093,Nuclear physics research studies,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,225727
T11463,Classical Philosophy and Thought,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,225196
T10166,Mosquito-borne diseases and control,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,225158
T10910,Corporate Governance and Management,1408,Strategy and Management,14,"Business, Management and Accounting",2,Social Sciences,225056
T14134,Medical and Biological Sciences,2702,Anatomy,27,Medicine,4,Health Sciences,224838
T10815,Parasite Biology and Host Interactions,2303,Ecology,23,Environmental Science,3,Physical Sciences,223516
T10192,Catalytic Processes in Materials Science,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences,223056
T13444,Medical Research and Treatments,2707,Complementary and alternative medicine,27,Medicine,4,Health Sciences,221534
T12624,Maritime and Coastal Archaeology,1204,Archeology,12,Arts and Humanities,2,Social Sciences,221387
T12959,Engineering and Materials Science Studies,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences,220569
T13255,"Business, Innovation, and Economy",2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,220515
T13022,Health and Medical Studies,3600,General Health Professions,36,Health Professions,4,Health Sciences,218140
T11594,Tree-ring climate responses,1902,Atmospheric Science,19,Earth and Planetary Sciences,3,Physical Sciences,218090
T14109,Scottish History and National Identity,1202,History,12,Arts and Humanities,2,Social Sciences,217283
T12532,Historical and Cultural Archaeology Studies,3314,Anthropology,33,Social Sciences,2,Social Sciences,216147
T10787,Lightning and Electromagnetic Phenomena,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,215671
T12076,Renaissance and Early Modern Studies,1202,History,12,Arts and Humanities,2,Social Sciences,215249
T11949,Nuclear Physics and Applications,3108,Radiation,31,Physics and Astronomy,3,Physical Sciences,214539
T12119,Linguistics and Discourse Analysis,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,214474
T12752,Global Peace and Security Dynamics,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,214452
T11546,Plant Physiology and Cultivation Studies,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,214015
T12337,Italian Fascism and Post-war Society,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,212584
T10159,Ionosphere and magnetosphere dynamics,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,211720
T12115,Genetic and Environmental Crop Studies,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,211049
T11757,Seismic Waves and Analysis,1908,Geophysics,19,Earth and Planetary Sciences,3,Physical Sciences,210590
T10299,Photonic and Optical Devices,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,210534
T13593,Historical and Archaeological Studies,1202,History,12,Arts and Humanities,2,Social Sciences,210237
T11563,Indian and Buddhist Studies,1212,Religious studies,12,Arts and Humanities,2,Social Sciences,209749
T11421,Labor Movements and Unions,3321,Public Administration,33,Social Sciences,2,Social Sciences,208872
T11852,Clay minerals and soil interactions,2502,Biomaterials,25,Materials Science,3,Physical Sciences,208444
T13607,Academic Publishing and Open Access,1802,Information Systems and Management,18,Decision Sciences,2,Social Sciences,208394
T10522,Medical Imaging Techniques and Applications,2741,"Radiology, Nuclear Medicine and Imaging",27,Medicine,4,Health Sciences,207332
T14293,Biotechnology and Related Fields,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,207048
T10002,Advanced Chemical Physics Studies,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,205997
T12266,Byzantine Studies and History,1205,Classics,12,Arts and Humanities,2,Social Sciences,205805
T10857,Advanced Electron Microscopy Techniques and Applications,1315,Structural Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,205775
T11016,Monoclonal and Polyclonal Antibodies Research,2741,"Radiology, Nuclear Medicine and Imaging",27,Medicine,4,Health Sciences,203313
T10595,Medieval Literature and History,1205,Classics,12,Arts and Humanities,2,Social Sciences,203207
T12289,Library Science and Administration,3309,Library and Information Sciences,33,Social Sciences,2,Social Sciences,202621
T10271,Seismic Imaging and Inversion Techniques,1908,Geophysics,19,Earth and Planetary Sciences,3,Physical Sciences,202597
T14468,Plant Ecology and Soil Science,2303,Ecology,23,Environmental Science,3,Physical Sciences,202583
T11365,Islamic Finance and Banking Studies,1402,Accounting,14,"Business, Management and Accounting",2,Social Sciences,201909
T14191,Historical Art and Architecture Studies,1206,Conservation,12,Arts and Humanities,2,Social Sciences,201784
T13568,Wood and Agarwood Research,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences,201417
T10236,Aquatic Ecosystems and Phytoplankton Dynamics,2304,Environmental Chemistry,23,Environmental Science,3,Physical Sciences,201243
T12319,Fish Biology and Ecology Studies,1104,Aquatic Science,11,Agricultural and Biological Sciences,1,Life Sciences,200801
T10758,Cinema and Media Studies,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,200452
T10302,Fish Ecology and Management Studies,2309,Nature and Landscape Conservation,23,Environmental Science,3,Physical Sciences,200159
T13028,Literature and Culture Studies,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,199935
T10054,Parallel Computing and Optimization Techniques,1708,Hardware and Architecture,17,Computer Science,3,Physical Sciences,199124
T14149,Historical and Literary Analyses,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,199093
T10230,Marine and fisheries research,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,198196
T10110,earthquake and tectonic studies,1908,Geophysics,19,Earth and Planetary Sciences,3,Physical Sciences,197951
T10182,Child and Adolescent Psychosocial and Emotional Development,3203,Clinical Psychology,32,Psychology,2,Social Sciences,197741
T13996,Diverse Musicological Studies,1210,Music,12,Arts and Humanities,2,Social Sciences,197405
T11027,Metabolism and Genetic Disorders,1308,Clinical Biochemistry,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,196902
T11742,Economic Theory and Policy,2000,"General Economics, Econometrics and Finance",20,"Economics, Econometrics and Finance",2,Social Sciences,196557
T14249,Water Quality Monitoring and Analysis,2311,Industrial and Manufacturing Engineering,23,Environmental Science,3,Physical Sciences,196446
T10715,Distributed and Parallel Computing Systems,1705,Computer Networks and Communications,17,Computer Science,3,Physical Sciences,196047
T11050,Photorefractive and Nonlinear Optics,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,195768
T10152,Animal Nutrition and Physiology,1103,Animal Science and Zoology,11,Agricultural and Biological Sciences,1,Life Sciences,195134
T11715,Education and Critical Thinking Development,3304,Education,33,Social Sciences,2,Social Sciences,194984
T10018,Advancements in Battery Materials,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,194864
T14186,Healthcare Systems and Practices,3600,General Health Professions,36,Health Professions,4,Health Sciences,194848
T12430,Academic and Historical Perspectives in Psychology,3200,General Psychology,32,Psychology,2,Social Sciences,194592
T14451,Historical and Religious Studies of Rome,1202,History,12,Arts and Humanities,2,Social Sciences,192206
T11290,Preterm Birth and Chorioamnionitis,2713,Epidemiology,27,Medicine,4,Health Sciences,191974
T12977,Spanish Literature and Culture Studies,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,191835
T10089,Avian ecology and behavior,2303,Ecology,23,Environmental Science,3,Physical Sciences,191515
T10472,Semiconductor materials and devices,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,191151
T14379,Diverse Cultural and Historical Studies,3316,Cultural Studies,33,Social Sciences,2,Social Sciences,190078
T10457,Education Pedagogy and Practices,3304,Education,33,Social Sciences,2,Social Sciences,189880
T11891,Big Data and Business Intelligence,1404,Management Information Systems,14,"Business, Management and Accounting",2,Social Sciences,189224
T10527,High-Energy Particle Collisions Research,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,189060
T11387,Ichthyology and Marine Biology,2309,Nature and Landscape Conservation,23,Environmental Science,3,Physical Sciences,188663
T10804,"Health Systems, Economic Evaluations, Quality of Life",2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,188606
T10019,Corporate Finance and Governance,1402,Accounting,14,"Business, Management and Accounting",2,Social Sciences,188109
T12641,Historical and socio-economic studies of Spain and related regions,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,187753
T12804,Thermal Analysis in Power Transmission,2207,Control and Systems Engineering,22,Engineering,3,Physical Sciences,187367
T10572,Geophysical and Geoelectrical Methods,1908,Geophysics,19,Earth and Planetary Sciences,3,Physical Sciences,187270
T11168,International Development and Aid,3303,Development,33,Social Sciences,2,Social Sciences,187007
T10162,Online and Blended Learning,3304,Education,33,Social Sciences,2,Social Sciences,186975
T12575,Medical History and Research,1202,History,12,Arts and Humanities,2,Social Sciences,186569
